Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User 123,Twitter, #Nature #Park                            ,15,30,USA,2023,1,15,12
Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,Commuter X,Twitter, #Traffic #Morning                        ,5,10,CANADA,2023,1,15,8
Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,Fitness Fan,Instagram, #Fitness #Workout                        ,20,40,USA,2023,1,15,15
Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,Adventure X,Facebook, #Travel #Adventure                       ,8,15,UK,2023,1,15,18
Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,Chef Cook,Instagram, #Cooking #Food                           ,12,25,AUSTRALIA,2023,1,15,19
Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,Gratitude Now,Twitter, #Gratitude #PositiveVibes              ,25,50,INDIA,2023,1,16,9
Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,Rainy Days,Facebook, #RainyDays #Cozy                         ,10,20,CANADA,2023,1,16,14
The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,Movie Buff,Instagram, #MovieNight #MustWatch                  ,15,30,USA,2023,1,16,19
Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,Debate Talk,Twitter, #Politics #Debate                       ,30,60,USA,2023,1,17,8
Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,Beach Lover,Facebook, #Summer #BeachDays                      ,18,35,AUSTRALIA,2023,1,17,12
Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,Blogger X,Instagram, #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,Wellness Check,Twitter, #SickDay #Health                        ,7,15,CANADA,2023,1,18,10
Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,Urban Explorer,Facebook, #CityExplore #HiddenGems                ,12,25,UK,2023,1,18,14
"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,Fit Journey,Instagram, #NewYear #FitnessGoals                  ,28,55,USA,2023,1,18,18
Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,Tech Enthusiast,Twitter, #Tech #Innovation                       ,15,30,INDIA,2023,1,19,9
